generation,best_fitness,mean_fitness,accuracy,neuron_count,synapse_count
1,0.589755,0,0.4375,5,4
2,0.593254,0,0.4375,5,4
3,0.603149,0,0.4375,5,4
4,0.618018,0,0.4375,5,4
5,0.622764,0,0.4375,5,4
6,0.622774,0,0.4375,5,4
7,0.622776,0,0.4375,5,4
8,0.622856,0,0.4375,5,4
9,0.623262,0,0.4375,5,4
10,0.62378,0,0.4375,5,4
11,0.624559,0,0.4375,5,4
12,0.625136,0,0.4375,5,4
13,0.625991,0,0.4375,5,4
14,0.63851,0,0.4375,5,4
15,0.641543,0,0.4375,5,4
16,0.641543,0,0.4375,5,4
17,0.642549,0,0.4375,5,4
18,0.670239,0,0.4375,5,4
19,0.670239,0,0.4375,5,4
20,0.674902,0,0.4375,5,4
21,0.677801,0,0.4375,5,4
22,0.677801,0,0.4375,5,4
23,0.694889,0,0.4375,5,4
24,0.699764,0,0.4375,5,4
25,0.699764,0,0.4375,5,4
26,0.700204,0,0.4375,5,4
27,0.70075,0,0.4375,5,4
28,0.702032,0,0.4375,5,4
29,0.703867,0,0.4375,5,4
30,0.70613,0,0.4375,5,4
31,0.70613,0,0.4375,5,4
32,0.707789,0,0.4375,5,4
33,0.710916,0,0.4375,5,4
34,0.718603,0,0.4375,5,4
35,0.729692,0,0.4375,5,4
36,0.743835,0,0.4375,5,4
37,0.749705,0,0.4375,5,4
38,0.749834,0,0.4375,5,4
39,0.749834,0,0.4375,5,4
40,0.74985,0,0.4375,5,4
41,0.749865,0,0.4375,5,4
42,0.749865,0,0.4375,5,4
43,0.749865,0,0.4375,5,4
44,0.749866,0,0.4375,5,4
45,0.749866,0,0.4375,5,4
46,0.749867,0,0.4375,5,4
47,0.749869,0,0.4375,5,4
48,0.749874,0,0.4375,5,4
49,0.749881,0,0.4375,5,4
50,0.749894,0,0.4375,5,4
51,0.749916,0,0.4375,5,4
52,0.749936,0,0.4375,5,4
53,0.749937,0,0.4375,5,4
53,0.749937,0,0.5,5,3
54,0.749937,0,0.5,5,3
55,0.749969,0,0.5,5,3
56,0.749971,0,0.5,5,3
57,0.749974,0,0.5,5,3
58,0.749978,0,0.5,5,3
59,0.749982,0,0.5,5,3
60,0.749982,0,0.5,5,3
61,0.749988,0,0.5,5,3
62,0.749988,0,0.5,5,3
63,0.749988,0,0.5,5,3
64,0.749989,0,0.5,5,3
65,0.74999,0,0.5,5,3
66,0.74999,0,0.5,5,3
67,0.749992,0,0.5,5,3
68,0.749993,0,0.5,5,3
69,0.749995,0,0.5,5,3
70,0.749995,0,0.5,5,3
71,0.749995,0,0.5,5,3
72,0.749996,0,0.5,5,3
73,0.749996,0,0.5,5,3
74,0.749996,0,0.5,5,3
75,0.749996,0,0.5,5,3
76,0.749996,0,0.5,5,3
77,0.749996,0,0.5,5,3
78,0.749996,0,0.5,5,3
79,0.749996,0,0.5,5,3
80,0.749996,0,0.5,5,3
81,0.749996,0,0.5,5,3
82,0.749996,0,0.5,5,3
83,0.749996,0,0.5,5,3
84,0.749996,0,0.5,5,3
85,0.749996,0,0.5,5,3
86,0.749996,0,0.5,5,3
87,0.749996,0,0.5,5,3
88,0.749996,0,0.5,5,3
89,0.749996,0,0.5,5,3
90,0.749996,0,0.5,5,3
91,0.749996,0,0.5,5,3
92,0.749996,0,0.5,5,3
93,0.749996,0,0.5,5,3
94,0.749996,0,0.5,5,3
95,0.749996,0,0.5,5,3
96,0.749996,0,0.5,5,3
97,0.749996,0,0.5,5,3
98,0.749996,0,0.5,5,3
99,0.749996,0,0.5,5,3
100,0.749996,0,0.5,5,3
101,0.749996,0,0.5,5,3
102,0.749996,0,0.5,5,3
103,0.749996,0,0.5,5,3
104,0.749996,0,0.5,5,3
105,0.749996,0,0.5,5,3
106,0.749996,0,0.5,5,3
107,0.749996,0,0.5,5,3
108,0.749996,0,0.5,5,3
109,0.749996,0,0.5,5,3
110,0.749996,0,0.5,5,3
111,0.749996,0,0.5,5,3
112,0.749996,0,0.5,5,3
113,0.749996,0,0.5,5,3
114,0.749996,0,0.5,5,3
115,0.749996,0,0.5,5,3
116,0.749996,0,0.5,5,3
117,0.749996,0,0.5,5,3
118,0.749997,0,0.5,5,3
119,0.749997,0,0.5,5,3
120,0.749998,0,0.5,5,3
121,0.749998,0,0.5,5,3
122,0.749998,0,0.5,5,3
123,0.749999,0,0.5,5,3
124,0.749999,0,0.5,5,3
125,0.749999,0,0.5,5,3
126,0.75,0,0.5,5,3
127,0.75,0,0.5,5,3
128,0.75,0,0.5,5,3
129,0.75,0,0.5,5,3
130,0.75,0,0.5,5,3
131,0.75,0,0.5,5,3
