generation,best_fitness,mean_fitness,neuron_count,synapse_count
0,409.2,62.081667,5,4
1,409.2,77.983333,5,4
2,409.2,91.625,5,4
3,443.3,142.768333,5,4
4,443.3,178.195,5,4
5,449.5,256.06,5,4
6,462.8,310.486667,5,4
7,462.8,331.995,5,4
8,462.8,357.896667,5,4
9,462.8,383.38,5,4
10,462.8,352.85,5,4
11,500,342.646667,5,4
12,500,349.81,5,4
13,500,374.746667,5,4
14,500,387.523333,5,4
15,500,378.968333,5,4
16,500,383.441667,5,4
17,500,371.935,5,4
18,500,398.366667,5,4
19,500,391.84,5,4
20,500,395.601667,5,4
21,500,393.456667,5,4
22,500,382.348333,5,4
23,500,408.565,5,4
24,500,395.368333,5,4
25,500,381.58,5,4
26,500,395.111667,5,4
27,500,396.956667,5,4
28,500,391.646667,5,4
29,500,372.4,5,4
30,500,392.346667,5,4
31,500,386.59,5,4
32,500,385.366667,5,4
33,500,391.173333,5,4
34,500,410.48,5,4
35,500,388.8,5,4
36,500,412.696667,5,4
37,500,392.351667,5,4
38,500,419.508333,5,4
39,500,402.268333,5,4
40,500,394.733333,5,4
41,500,422.596667,5,4
42,500,410.658333,5,4
43,500,401.548333,5,4
44,500,415.065,5,4
45,500,406.206667,5,4
46,500,420.188333,5,4
47,500,411.638333,5,4
48,500,395.841667,5,4
49,500,409.986667,5,4
50,500,404.848333,5,4
51,500,409.12,5,4
52,500,419.34,5,4
53,500,408.608333,5,4
54,500,411.036667,5,4
55,500,427.74,5,4
56,500,413.421667,5,4
57,500,405.376667,5,4
58,500,414.76,5,4
59,500,426.423333,5,4
60,500,422.113333,5,4
61,500,414.025,5,4
62,500,422.345,6,5
63,500,429.541667,6,5
64,500,413.078333,6,5
65,500,427.603333,6,5
66,500,417.776667,6,5
67,500,427.521667,6,5
68,500,438.753333,6,5
69,500,422.485,7,6
70,500,438.636667,7,6
71,500,437.613333,7,6
72,500,422.495,8,7
73,500,430.903333,8,7
74,500,419.666667,8,7
75,500,446.155,8,7
76,500,434.211667,8,7
77,500,419.616667,8,7
78,500,431.133333,8,7
79,500,443.308333,8,7
80,500,435.555,8,7
81,500,440.273333,8,7
82,500,446.276667,8,7
83,500,445.316667,8,7
84,500,445.523333,8,7
85,500,448.468333,8,7
86,500,457.47,8,7
87,500,456.638333,8,7
88,500,423.195,8,7
89,500,444.508333,8,7
90,500,438.518333,8,7
91,500,423.018333,8,7
92,500,439.85,8,7
93,500,426.273333,8,7
94,500,445.11,8,7
95,500,437.335,8,7
96,500,437.66,8,7
97,500,438.04,8,7
98,500,431.305,8,7
99,500,415.71,8,7
100,500,432.051667,8,7
101,500,415.121667,8,7
102,500,438.401667,8,7
103,500,443.663333,8,7
104,500,438.986667,8,7
105,500,441.75,8,7
106,500,450.188333,8,7
107,500,451.066667,8,7
108,500,455.868333,8,7
109,500,444.696667,8,7
110,500,454.446667,8,7
111,500,444.805,8,7
112,500,450.44,8,7
113,500,444.53,8,7
114,500,453.666667,8,7
115,500,437.1,8,7
116,500,432.415,8,7
117,500,440.875,8,7
118,500,446.865,8,7
119,500,449.238333,8,7
120,500,425.243333,8,7
121,500,450.383333,8,7
122,500,429.356667,8,7
123,500,438.178333,8,7
124,500,436.745,8,7
125,500,452.773333,8,7
126,500,447.37,8,7
127,500,438.24,8,7
128,500,455.035,8,7
129,500,453.161667,8,7
130,500,447.49,8,7
131,500,428.658333,8,7
132,500,444.923333,8,7
133,500,446.815,8,7
134,500,430.625,8,7
135,500,448.776667,8,7
136,500,436.92,8,7
137,500,448.331667,8,7
138,500,439,8,7
139,500,436.888333,8,7
140,500,444.791667,8,7
141,500,438.063333,8,7
142,500,444.246667,8,7
143,500,436.618333,8,7
144,500,460.518333,8,7
145,500,434.275,8,7
146,500,446.983333,8,7
147,500,437.931667,8,7
148,500,445.883333,8,7
149,500,431.09,8,7
150,500,414.34,8,7
151,500,449.435,8,7
152,500,426.248333,8,7
153,500,438.881667,8,7
154,500,456.175,8,7
155,500,434.798333,8,7
156,500,440.023333,8,7
157,500,441.12,8,7
158,500,444.641667,8,7
159,500,432.908333,8,7
160,500,445.125,8,7
161,500,449.991667,8,7
162,500,442.35,8,7
163,500,422.245,8,7
164,500,448.905,8,7
165,500,442.898333,8,7
166,500,429.135,8,7
167,500,453.07,8,7
168,500,442.01,8,7
169,500,422.31,9,8
170,500,460.753333,9,8
