generation,best_fitness,mean_fitness,neuron_count,synapse_count
1,-3.698084,0,5,4
2,-3.224728,0,5,4
3,-3.187264,0,5,4
4,-3.167578,0,5,4
5,-2.967497,0,5,4
6,-2.948682,0,5,4
7,-2.948682,0,5,4
8,-2.914621,0,5,4
9,-2.754864,0,5,4
10,-2.158961,0,5,4
11,-1.789324,0,5,4
12,-1.789324,0,5,4
13,-1.787249,0,5,4
14,-1.785798,0,5,4
15,-1.785777,0,5,4
16,-1.776407,0,5,4
17,-1.767414,0,5,4
18,-1.757858,0,5,4
19,-1.722493,0,5,4
20,-1.722493,0,5,4
21,-1.719656,0,5,4
22,-1.71933,0,5,4
23,-1.717321,0,5,4
24,-1.714339,0,5,4
25,-1.711188,0,5,4
26,-1.711188,0,5,4
27,-1.71089,0,5,4
28,-1.697439,0,6,6
29,-1.69617,0,6,6
30,-1.695502,0,6,6
31,-1.680917,0,6,6
32,-1.674227,0,6,6
33,-1.663884,0,6,6
34,-1.652646,0,6,6
35,-1.642671,0,6,6
36,-1.641972,0,6,6
37,-1.641393,0,6,6
38,-1.641033,0,6,6
39,-1.640637,0,6,6
40,-1.637882,0,6,6
41,-1.637134,0,6,6
42,-1.635538,0,6,6
43,-1.633791,0,6,6
44,-1.631342,0,6,6
45,-1.629432,0,6,6
46,-1.629382,0,6,6
47,-1.628749,0,6,6
48,-1.628127,0,6,6
49,-1.627023,0,6,6
50,-1.626682,0,6,6
51,-1.625959,0,6,6
52,-1.624823,0,6,6
53,-0.840925,0,6,6
54,-0.840224,0,6,6
55,-0.82894,0,6,6
56,-0.827729,0,6,6
57,-0.827713,0,6,6
58,-0.826653,0,6,6
59,-0.820767,0,6,6
60,-0.820767,0,6,6
61,-0.819673,0,6,6
62,-0.819195,0,6,6
63,-0.819195,0,6,6
64,-0.818796,0,6,6
65,-0.818105,0,6,6
66,-0.816717,0,6,6
67,-0.814258,0,6,6
68,-0.809318,0,6,6
69,-0.801477,0,6,6
70,-0.789254,0,6,6
71,-0.770355,0,6,6
72,-0.748325,0,6,6
73,-0.729808,0,6,6
74,-0.729808,0,6,6
75,-0.72963,0,6,6
76,-0.729391,0,6,6
77,-0.728916,0,6,6
78,-0.728278,0,6,6
79,-0.728044,0,6,6
80,-0.728044,0,6,6
81,-0.728044,0,6,6
82,-0.728034,0,6,6
83,-0.728034,0,6,6
84,-0.728003,0,6,6
85,-0.72796,0,6,6
86,-0.72755,0,6,6
87,-0.715591,0,6,6
88,-0.707589,0,6,6
89,-0.698608,0,6,6
90,-0.69514,0,6,6
91,-0.695074,0,6,6
92,-0.694846,0,6,6
93,-0.694472,0,6,6
94,-0.691986,0,6,6
95,-0.690455,0,6,6
96,-0.690449,0,6,6
97,-0.689059,0,6,6
98,-0.687761,0,6,6
99,-0.686738,0,6,6
100,-0.686731,0,6,6
101,-0.686609,0,6,6
102,-0.686412,0,6,6
103,-0.686339,0,6,6
104,-0.686339,0,6,6
