generation,best_fitness,mean_fitness,neuron_count,synapse_count
0,-0.1,-0.138983,9,20
1,-0.057143,-0.134485,9,20
2,-0.033333,-0.121997,9,20
3,-0.033333,-0.099394,9,20
4,0,-0.10011,9,20
5,0.05,-0.094581,9,20
6,0.05,-0.087629,9,20
7,0.3,-0.067471,9,20
8,0.3,-0.042274,9,20
9,0.982,0.043396,9,20
10,0.982,0.191013,10,21
11,0.982,0.249015,10,21
12,0.982,0.41013,11,22
13,0.982,0.558769,11,22
14,0.982,0.766044,11,22
15,0.982,0.810443,12,23
16,0.982,0.854262,12,23
17,0.982,0.893094,12,23
18,0.982,0.829885,13,24
19,0.982,0.879281,13,24
20,0.982,0.874134,13,24
21,0.982,0.895419,13,24
22,0.982,0.865111,13,24
23,0.982,0.884456,13,24
24,0.982,0.852581,14,25
25,0.982,0.823462,14,25
26,0.982,0.863017,14,25
27,0.982,0.867998,15,26
28,0.982,0.739313,15,26
29,0.982,0.89755,15,26
30,0.982,0.859981,15,26
31,0.982,0.820341,16,27
32,0.982,0.876972,16,27
33,0.982,0.844264,16,27
34,0.982,0.816512,16,27
35,0.982,0.926133,16,27
36,0.982,0.877356,16,27
37,0.982,0.954342,17,28
38,0.982,0.967883,17,28
39,0.982,0.967883,18,29
40,0.982,0.967883,18,29
41,0.982,0.898482,18,29
42,0.982,0.954069,18,29
43,0.982,0.925532,19,30
44,0.982,0.967883,20,31
45,0.982,0.939649,21,32
46,0.982,0.917007,21,32
47,0.982,0.800297,21,32
48,0.982,0.8614,21,32
49,0.982,0.714732,21,32
50,0.982,0.828531,22,33
51,0.982,0.8419,22,33
52,0.982,0.841307,22,33
53,0.982,0.828147,22,33
54,0.982,0.869542,23,34
55,0.982,0.897297,23,34
56,0.982,0.840829,24,35
57,0.982,0.899074,25,36
58,0.982,0.912599,25,36
59,0.982,0.897889,25,36
60,0.982,0.925532,25,36
61,0.982,0.903482,25,36
62,0.982,0.88318,25,36
63,0.982,0.841421,25,36
64,0.982,0.898254,26,37
65,0.982,0.911893,26,37
66,0.982,0.843813,26,37
67,0.982,0.927194,27,38
68,0.982,0.914148,27,38
69,0.982,0.914261,27,38
70,0.982,0.900623,27,38
71,0.982,0.785265,28,39
72,0.982,0.822924,28,39
73,0.982,0.864683,28,39
74,0.982,0.837589,28,39
75,0.982,0.872616,29,40
76,0.982,0.835264,29,40
77,0.982,0.781121,29,40
78,0.982,0.856449,29,40
79,0.982,0.878208,30,41
80,0.982,0.856158,30,41
81,0.982,0.712674,30,41
82,0.982,0.932308,30,41
83,0.982,0.741564,30,41
84,0.982,0.776787,31,42
85,0.982,0.772719,32,43
86,0.982,0.851158,32,43
87,0.982,0.819285,32,43
88,0.982,0.820265,32,43
89,0.982,0.878882,32,43
90,0.982,0.827606,33,44
91,0.982,0.782366,33,44
92,0.982,0.794221,33,44
93,0.982,0.802047,34,45
94,0.982,0.937318,34,45
95,0.982,0.856416,34,45
