generation,best_fitness,mean_fitness,neuron_count,synapse_count
1,0.770086,0,4,3
2,0.774972,0,4,3
3,0.774972,0,4,3
4,0.780501,0,4,3
5,0.814107,0,4,3
6,0.860058,0,4,3
7,0.870196,0,4,3
8,0.870943,0,4,3
9,0.877871,0,4,3
10,0.878315,0,4,3
11,0.911952,0,4,3
12,0.911952,0,4,3
13,0.932369,0,4,3
14,0.932369,0,4,3
15,0.941782,0,4,3
16,0.951826,0,4,3
17,0.953468,0,4,3
18,0.953469,0,4,3
19,0.953693,0,4,3
20,0.953713,0,4,3
21,0.95399,0,4,3
22,0.954915,0,4,3
23,0.956823,0,4,3
24,0.960279,0,4,3
25,0.964621,0,4,3
26,0.969002,0,4,3
27,0.969002,0,4,3
28,0.969002,0,4,3
29,0.969753,0,4,3
30,0.969753,0,4,3
31,0.969806,0,4,3
32,0.969885,0,4,3
33,0.970029,0,4,3
34,0.970277,0,4,3
35,0.970825,0,4,3
36,0.97169,0,4,3
37,0.972958,0,4,3
38,0.972958,0,4,3
39,0.973001,0,4,3
40,0.97306,0,4,3
41,0.973208,0,4,3
42,0.973434,0,4,3
43,0.973461,0,4,3
44,0.973475,0,4,3
45,0.973537,0,4,3
46,0.973625,0,4,3
47,0.97365,0,4,3
48,0.97365,0,4,3
49,0.973657,0,4,3
50,0.973663,0,4,3
51,0.973671,0,4,3
52,0.973685,0,4,3
53,0.973708,0,4,3
54,0.973726,0,4,3
55,0.97373,0,4,3
56,0.973738,0,4,3
57,0.973738,0,5,5
58,0.973738,0,5,5
59,0.973754,0,5,5
60,0.973765,0,5,5
61,0.973765,0,5,5
62,0.973767,0,5,5
63,0.973767,0,5,5
64,0.973767,0,5,5
65,0.973767,0,5,5
66,0.973767,0,5,5
67,0.973767,0,5,5
68,0.973767,0,5,5
69,0.973767,0,5,5
70,0.973767,0,5,5
71,0.973767,0,5,5
72,0.973767,0,5,5
73,0.973767,0,5,5
74,0.973767,0,5,5
75,0.973767,0,5,5
76,0.973767,0,5,5
77,0.973768,0,5,5
78,0.973769,0,5,5
79,0.97377,0,5,5
80,0.973772,0,5,5
81,0.973774,0,5,5
82,0.973774,0,5,5
83,0.973774,0,5,5
84,0.973774,0,5,5
85,0.973777,0,5,5
86,0.973777,0,5,5
87,0.973779,0,5,5
88,0.973779,0,5,5
89,0.97378,0,5,5
90,0.97378,0,5,5
91,0.97378,0,5,5
92,0.97378,0,5,5
93,0.97378,0,5,5
94,0.97378,0,5,5
95,0.97378,0,5,5
96,0.97378,0,5,5
97,0.97378,0,5,5
98,0.97378,0,5,5
99,0.97378,0,5,5
100,0.97378,0,5,5
101,0.97378,0,5,5
