generation,best_fitness,mean_fitness,neuron_count,synapse_count
1,0.435043,0,6,8
2,0.48369,0,6,8
3,0.48369,0,6,8
4,0.483707,0,6,8
5,0.483776,0,6,8
6,0.4839,0,6,8
7,0.484328,0,6,8
8,0.485165,0,6,8
9,0.489589,0,6,8
10,0.489589,0,6,8
11,0.489732,0,6,8
12,0.489797,0,6,8
13,0.489921,0,6,8
14,0.496694,0,6,8
15,0.520181,0,6,8
16,0.587022,0,6,8
17,0.632309,0,7,11
18,0.665849,0,7,11
19,0.678696,0,7,11
20,0.6819,0,7,11
21,0.70973,0,7,11
22,0.724897,0,7,11
23,0.760462,0,7,11
24,0.760462,0,7,11
25,0.856448,0,6,8
26,0.869119,0,6,8
27,0.882183,0,6,8
28,0.893767,0,6,8
29,0.893833,0,6,8
30,0.895355,0,6,8
31,0.89594,0,6,8
32,0.89594,0,6,8
33,0.930496,0,7,11
34,0.942795,0,7,11
35,0.947332,0,7,11
36,0.953424,0,7,11
37,0.955671,0,7,11
38,0.955671,0,7,11
39,0.957083,0,7,11
40,0.963672,0,7,11
41,0.966687,0,7,10
42,0.970927,0,7,10
43,0.97471,0,7,10
44,0.976051,0,7,10
45,0.976051,0,7,10
46,0.979159,0,7,10
47,0.979188,0,7,10
48,0.979188,0,7,10
49,0.981155,0,8,12
50,0.981155,0,8,12
51,0.981184,0,8,12
52,0.981716,0,8,12
53,0.982373,0,8,12
54,0.982392,0,8,12
55,0.982442,0,8,12
56,0.982657,0,8,12
57,0.982795,0,8,12
58,0.983246,0,8,12
59,0.988099,0,8,12
60,0.992108,0,8,12
61,0.992108,0,8,12
62,0.992128,0,8,12
63,0.992128,0,8,12
64,0.993417,0,8,12
65,0.993448,0,9,14
66,0.993448,0,9,14
67,0.99351,0,9,14
68,0.993524,0,9,14
69,0.993917,0,9,14
70,0.994243,0,9,14
71,0.994324,0,9,14
72,0.99434,0,9,14
73,0.994694,0,7,9
74,0.994694,0,7,9
75,0.994703,0,7,9
76,0.994703,0,7,9
77,0.994707,0,7,9
78,0.994711,0,7,9
79,0.99472,0,7,9
80,0.994739,0,7,9
81,0.994739,0,7,10
82,0.994784,0,7,10
83,0.994832,0,7,10
84,0.994858,0,7,10
85,0.994862,0,7,10
86,0.994866,0,7,10
87,0.994873,0,7,10
88,0.994885,0,7,10
89,0.995044,0,7,10
90,0.995082,0,7,10
91,0.995121,0,7,10
92,0.995251,0,7,10
93,0.995251,0,6,7
