generation,best_fitness,mean_fitness,neuron_count,synapse_count
1,0.756733,0,11,10
1,0.756733,0,11,9
2,0.757442,0,11,9
3,0.758391,0,11,9
4,0.758391,0,11,9
5,0.758628,0,11,9
6,0.759,0,11,9
7,0.759529,0,11,9
8,0.759673,0,11,9
9,0.759707,0,11,9
10,0.759707,0,11,9
11,0.759747,0,11,9
11,0.759747,0,13,13
12,0.760112,0,13,13
13,0.760517,0,13,13
14,0.761209,0,13,13
15,0.762566,0,13,13
16,0.764039,0,13,13
17,0.764728,0,13,13
18,0.765075,0,13,13
19,0.765192,0,13,13
20,0.765249,0,13,13
21,0.765249,0,13,13
22,0.765345,0,13,13
23,0.76549,0,13,13
24,0.765581,0,13,13
25,0.765582,0,13,13
26,0.765582,0,13,13
27,0.765583,0,13,13
28,0.765662,0,13,13
29,0.765778,0,13,13
30,0.765948,0,13,13
31,0.765948,0,13,13
32,0.765957,0,13,13
33,0.765957,0,13,13
34,0.765961,0,13,13
35,0.765977,0,13,13
36,0.766035,0,13,13
37,0.76611,0,13,13
38,0.766173,0,13,13
38,0.766173,0,14,17
39,0.766258,0,14,17
40,0.766385,0,14,17
41,0.767022,0,14,17
42,0.767118,0,14,17
43,0.767118,0,14,17
44,0.767156,0,14,17
45,0.767271,0,14,17
46,0.767419,0,14,17
47,0.767506,0,14,17
48,0.767506,0,14,17
49,0.767739,0,14,17
50,0.767962,0,14,17
51,0.768049,0,14,17
52,0.768051,0,14,17
52,0.768051,0,16,21
53,0.768099,0,16,21
54,0.768099,0,16,21
55,0.768104,0,16,21
56,0.768119,0,16,21
57,0.768119,0,16,21
58,0.768129,0,16,21
59,0.768129,0,16,21
60,0.768129,0,16,21
61,0.768166,0,16,21
62,0.768191,0,16,21
63,0.768224,0,16,21
64,0.76826,0,16,21
65,0.76826,0,16,21
66,0.768262,0,16,21
67,0.768262,0,16,21
68,0.768286,0,16,21
69,0.768286,0,16,21
70,0.768302,0,16,21
71,0.768315,0,16,21
72,0.768345,0,16,21
73,0.768402,0,16,21
74,0.76854,0,16,21
75,0.76854,0,16,21
76,0.76854,0,16,21
77,0.76854,0,16,21
77,0.76854,0,13,14
78,0.76854,0,13,14
79,0.76854,0,13,14
80,0.768581,0,13,14
81,0.768628,0,13,14
82,0.768667,0,13,14
83,0.768667,0,13,14
84,0.768678,0,13,14
85,0.768678,0,13,14
86,0.768678,0,13,14
87,0.768678,0,13,14
88,0.768678,0,13,14
89,0.768678,0,13,14
90,0.768735,0,13,14
91,0.768735,0,13,14
92,0.768741,0,13,14
93,0.768741,0,13,14
94,0.768744,0,13,14
95,0.768744,0,13,14
96,0.768744,0,13,14
97,0.768744,0,13,14
98,0.768744,0,13,14
99,0.768746,0,13,14
100,0.768747,0,13,14
101,0.768749,0,13,14
102,0.768751,0,13,14
102,0.768751,0,14,16
103,0.768751,0,14,16
104,0.768751,0,14,16
105,0.768751,0,14,16
106,0.768759,0,14,16
107,0.768763,0,14,16
108,0.768763,0,14,16
109,0.768764,0,14,16
110,0.768764,0,14,16
111,0.768767,0,14,16
112,0.768767,0,14,16
113,0.768767,0,14,16
114,0.768767,0,14,16
115,0.768767,0,14,16
116,0.768767,0,14,16
117,0.768814,0,14,16
118,0.768901,0,14,16
119,0.768902,0,14,16
120,0.768902,0,14,16
121,0.768902,0,14,16
122,0.768902,0,14,16
123,0.768998,0,14,16
124,0.769104,0,14,16
125,0.769104,0,14,16
126,0.769107,0,14,16
127,0.769111,0,14,16
128,0.769185,0,14,16
129,0.769204,0,14,16
129,0.769204,0,17,25
130,0.769204,0,17,25
131,0.769219,0,17,25
132,0.769221,0,17,25
133,0.769221,0,17,25
134,0.769242,0,17,25
135,0.769257,0,17,25
136,0.769259,0,17,25
137,0.769259,0,17,25
138,0.769259,0,17,25
139,0.769259,0,17,25
140,0.769259,0,17,25
141,0.769259,0,17,25
142,0.769259,0,17,25
143,0.769288,0,17,25
144,0.769288,0,17,25
145,0.769298,0,17,25
146,0.769761,0,17,25
147,0.769761,0,17,25
148,0.769763,0,17,25
149,0.769891,0,17,25
150,0.769891,0,17,25
151,0.769936,0,17,25
152,0.76997,0,17,25
153,0.769972,0,17,25
154,0.769972,0,17,25
155,0.770016,0,17,25
156,0.770016,0,17,25
156,0.770016,0,17,27
157,0.770016,0,17,27
158,0.770016,0,17,27
159,0.770016,0,17,27
160,0.770019,0,17,27
161,0.770019,0,17,27
162,0.770019,0,17,27
163,0.770019,0,17,27
164,0.770028,0,17,27
165,0.77013,0,17,27
166,0.770133,0,17,27
167,0.770161,0,17,27
168,0.770161,0,17,27
169,0.770161,0,17,27
170,0.770161,0,17,27
171,0.770161,0,17,27
172,0.770161,0,17,27
173,0.770161,0,17,27
174,0.770161,0,17,27
175,0.770161,0,17,27
176,0.770161,0,17,27
177,0.770161,0,17,27
178,0.770161,0,17,27
179,0.770161,0,17,27
180,0.770161,0,17,27
181,0.770161,0,17,27
182,0.770161,0,17,27
183,0.770161,0,17,27
184,0.770161,0,17,27
185,0.770161,0,17,27
186,0.770165,0,17,27
187,0.770175,0,17,27
188,0.770213,0,17,27
189,0.770213,0,17,27
190,0.770213,0,17,27
191,0.770213,0,17,27
192,0.770213,0,17,27
193,0.770217,0,17,27
194,0.770221,0,17,27
195,0.770223,0,17,27
196,0.770223,0,17,27
197,0.770223,0,17,27
198,0.770223,0,17,27
199,0.770236,0,17,27
200,0.770236,0,17,27
201,0.770236,0,17,27
201,0.770236,0,17,28
