generation,best_fitness,mean_fitness,neuron_count,synapse_count
1,0.640854,0,3,2
2,0.641528,0,3,2
3,0.646249,0,3,2
4,0.658696,0,3,2
5,0.658696,0,3,2
6,0.812942,0,3,2
7,0.861856,0,3,2
8,0.861856,0,3,2
9,0.868373,0,3,2
10,0.875649,0,3,2
11,0.89385,0,3,2
12,0.926625,0,3,2
13,0.926625,0,3,2
14,0.926667,0,3,2
15,0.926667,0,3,2
16,0.926901,0,3,2
17,0.927673,0,3,2
18,0.927974,0,3,2
19,0.929713,0,3,2
20,0.937687,0,3,2
21,0.941477,0,3,2
22,0.946818,0,3,2
23,0.951893,0,3,2
24,0.95953,0,3,2
25,0.959848,0,3,2
26,0.959852,0,3,2
27,0.959859,0,3,2
28,0.959903,0,3,2
29,0.963564,0,4,5
30,0.963682,0,4,5
31,0.968124,0,4,5
32,0.973617,0,4,5
33,0.975657,0,4,5
34,0.975657,0,4,5
35,0.975697,0,4,5
36,0.975769,0,4,5
37,0.975899,0,4,5
38,0.976242,0,4,5
39,0.97679,0,4,5
40,0.977765,0,4,5
41,0.97799,0,4,5
42,0.97799,0,4,5
43,0.978012,0,4,5
44,0.978039,0,4,5
45,0.985613,0,4,5
46,0.986779,0,4,5
47,0.986805,0,4,5
48,0.986806,0,4,5
49,0.986806,0,4,5
50,0.986809,0,4,5
51,0.986809,0,4,5
52,0.986814,0,4,5
53,0.986819,0,4,5
54,0.986819,0,4,5
55,0.986819,0,4,5
56,0.986819,0,4,5
57,0.986819,0,4,5
58,0.986819,0,4,5
59,0.986819,0,4,5
60,0.986819,0,4,5
61,0.986819,0,4,5
62,0.986819,0,4,5
63,0.986819,0,4,5
64,0.986819,0,4,5
65,0.98682,0,4,5
66,0.986822,0,4,5
67,0.986822,0,4,5
68,0.986822,0,4,5
69,0.986822,0,4,5
70,0.986823,0,4,5
71,0.986825,0,4,5
72,0.986827,0,4,5
73,0.986832,0,4,5
74,0.986841,0,4,5
75,0.986855,0,4,5
76,0.986873,0,4,5
77,0.98689,0,4,5
78,0.98689,0,4,5
79,0.986893,0,4,5
80,0.986895,0,4,5
81,0.986896,0,4,5
82,0.986896,0,4,5
83,0.986897,0,4,5
84,0.986897,0,4,5
85,0.986897,0,4,5
86,0.986897,0,4,5
87,0.986897,0,4,5
88,0.986899,0,4,5
89,0.986901,0,4,5
90,0.986903,0,4,5
91,0.986906,0,4,5
92,0.986909,0,4,5
93,0.986923,0,4,5
94,0.986935,0,4,5
95,0.986936,0,4,5
96,0.986937,0,4,5
97,0.986941,0,4,5
98,0.986944,0,4,5
99,0.986947,0,4,5
100,0.98695,0,4,5
101,0.98695,0,4,5
102,0.986954,0,4,5
103,0.98696,0,4,5
104,0.986964,0,4,5
105,0.986971,0,4,5
106,0.986978,0,4,5
107,0.987003,0,4,5
108,0.987083,0,4,5
109,0.987362,0,4,5
110,0.987628,0,4,5
111,0.988122,0,4,5
112,0.988122,0,4,5
113,0.988122,0,4,5
114,0.988122,0,4,5
115,0.988175,0,4,5
116,0.988257,0,4,5
117,0.988335,0,4,5
118,0.988335,0,4,5
119,0.988348,0,4,5
120,0.988365,0,4,5
121,0.988388,0,4,5
122,0.988417,0,4,5
123,0.988458,0,4,5
124,0.988483,0,4,5
125,0.988483,0,4,5
126,0.988484,0,4,5
127,0.988485,0,4,5
128,0.988487,0,4,5
