generation,best_fitness,mean_fitness,neuron_count,synapse_count
1,-0.931452,0,7,10
2,-0.861695,0,7,10
3,-0.710946,0,7,10
4,-0.665615,0,7,10
5,-0.654135,0,7,10
6,-0.654135,0,7,10
7,-0.426112,0,7,10
8,-0.162674,0,7,10
9,0.395877,0,7,10
10,0.436427,0,7,10
11,0.540859,0,7,10
12,0.611031,0,7,10
13,0.611031,0,7,10
14,0.820839,0,7,10
15,0.820839,0,7,10
16,0.82091,0,7,10
17,0.820997,0,7,10
18,0.898913,0,7,10
19,0.949206,0,7,10
20,0.968066,0,7,10
21,0.968066,0,7,10
22,0.968066,0,7,10
23,0.968066,0,7,10
24,0.972746,0,7,10
25,0.976519,0,7,10
26,0.977037,0,7,10
27,0.977037,0,7,10
28,0.977104,0,7,10
29,0.977185,0,7,10
30,0.977313,0,7,10
31,0.977598,0,7,10
32,0.978161,0,7,10
33,0.97948,0,7,10
34,0.982502,0,7,10
35,0.986115,0,7,10
36,0.988209,0,7,10
37,0.988209,0,7,10
38,0.988209,0,7,10
39,0.98821,0,7,10
40,0.988213,0,7,10
41,0.98822,0,7,10
42,0.988233,0,7,10
43,0.988338,0,7,10
44,0.988338,0,7,10
45,0.988558,0,7,10
46,0.988558,0,7,10
47,0.988559,0,7,10
48,0.988561,0,7,10
49,0.989264,0,7,10
50,0.989264,0,7,10
51,0.989284,0,7,10
52,0.989297,0,7,10
53,0.989325,0,7,10
54,0.989742,0,16,30
55,0.989746,0,16,30
56,0.991451,0,16,30
57,0.991499,0,16,30
58,0.992505,0,16,30
59,0.994286,0,16,30
60,0.994286,0,16,30
61,0.995179,0,16,30
62,0.995243,0,16,30
63,0.995243,0,16,30
64,0.995333,0,16,30
65,0.995494,0,17,88
66,0.995494,0,17,88
67,0.995494,0,17,88
68,0.995494,0,17,88
