generation,best_fitness,mean_fitness,neuron_count,synapse_count
1,0.748702,0,3,2
1,0.748702,0,3,1
2,0.74985,0,3,1
3,0.74985,0,3,1
4,0.7499,0,3,1
5,0.749925,0,3,1
6,0.749925,0,3,1
7,0.749928,0,3,1
8,0.749933,0,3,1
9,0.749941,0,3,1
10,0.749942,0,3,1
11,0.749942,0,3,1
12,0.749942,0,3,1
12,0.749942,0,3,2
13,0.749942,0,3,2
14,0.749942,0,3,2
15,0.749942,0,3,2
16,0.749943,0,3,2
17,0.749946,0,3,2
18,0.749946,0,3,2
19,0.749947,0,3,2
20,0.749947,0,3,2
21,0.749947,0,3,2
22,0.749947,0,3,2
23,0.749947,0,3,2
24,0.749947,0,3,2
25,0.749949,0,3,2
26,0.749952,0,3,2
27,0.749957,0,3,2
28,0.749958,0,3,2
29,0.749961,0,3,2
30,0.749963,0,3,2
31,0.749963,0,3,2
32,0.749976,0,3,2
33,0.749979,0,3,2
34,0.749981,0,3,2
35,0.749981,0,3,2
36,0.749982,0,3,2
37,0.749983,0,3,2
38,0.749984,0,3,2
39,0.749984,0,3,2
40,0.749984,0,3,2
41,0.749985,0,3,2
42,0.749985,0,3,2
43,0.74999,0,3,2
44,0.74999,0,3,2
45,0.749992,0,3,2
46,0.749995,0,3,2
47,0.749997,0,3,2
48,0.749998,0,3,2
49,0.749998,0,3,2
50,0.749998,0,3,2
51,0.749999,0,3,2
52,0.749999,0,3,2
53,0.749999,0,3,2
54,0.749999,0,3,2
55,0.749999,0,3,2
56,0.749999,0,3,2
57,0.749999,0,3,2
58,0.749999,0,3,2
59,0.749999,0,3,2
60,0.749999,0,3,2
61,0.749999,0,3,2
62,0.749999,0,3,2
63,0.749999,0,3,2
64,0.749999,0,3,2
65,0.749999,0,3,2
66,0.749999,0,3,2
67,0.749999,0,3,2
68,0.749999,0,3,2
69,0.749999,0,3,2
70,0.749999,0,3,2
71,0.749999,0,3,2
72,0.749999,0,3,2
73,0.749999,0,3,2
74,0.749999,0,3,2
75,0.749999,0,3,2
76,0.749999,0,3,2
77,0.749999,0,3,2
78,0.749999,0,3,2
79,0.749999,0,3,2
80,0.749999,0,3,2
81,0.749999,0,3,2
82,0.749999,0,3,2
83,0.749999,0,3,2
84,0.749999,0,3,2
85,0.749999,0,3,2
86,0.749999,0,3,2
87,0.749999,0,3,2
88,0.749999,0,3,2
89,0.749999,0,3,2
90,0.749999,0,3,2
91,0.749999,0,3,2
92,0.749999,0,3,2
93,0.749999,0,3,2
94,0.749999,0,3,2
95,0.749999,0,3,2
96,0.749999,0,3,2
97,0.749999,0,3,2
98,0.749999,0,3,2
99,0.749999,0,3,2
100,0.749999,0,3,2
101,0.749999,0,3,2
102,0.749999,0,3,2
103,0.749999,0,3,2
104,0.749999,0,3,2
105,0.749999,0,3,2
106,0.749999,0,3,2
107,0.749999,0,3,2
108,0.749999,0,3,2
109,0.749999,0,3,2
110,0.749999,0,3,2
111,0.749999,0,3,2
112,0.749999,0,3,2
113,0.749999,0,3,2
114,0.749999,0,3,2
115,0.749999,0,3,2
116,0.749999,0,3,2
117,0.749999,0,3,2
118,0.749999,0,3,2
119,0.749999,0,3,2
120,0.749999,0,3,2
121,0.749999,0,3,2
122,0.749999,0,3,2
123,0.749999,0,3,2
124,0.749999,0,3,2
125,0.749999,0,3,2
126,0.749999,0,3,2
127,0.749999,0,3,2
128,0.749999,0,3,2
129,0.749999,0,3,2
130,0.749999,0,3,2
131,0.749999,0,3,2
132,0.749999,0,3,2
133,0.749999,0,3,2
134,0.749999,0,3,2
135,0.749999,0,3,2
136,0.749999,0,3,2
137,0.749999,0,3,2
138,0.749999,0,3,2
139,0.749999,0,3,2
140,0.749999,0,3,2
141,0.749999,0,3,2
142,0.749999,0,3,2
143,0.749999,0,3,2
144,0.749999,0,3,2
145,0.749999,0,3,2
146,0.749999,0,3,2
147,0.749999,0,3,2
148,0.749999,0,3,2
149,0.749999,0,3,2
150,0.749999,0,3,2
151,0.749999,0,3,2
152,0.750257,0,3,2
153,0.750257,0,3,2
154,0.750351,0,3,2
155,0.750472,0,3,2
156,0.750472,0,3,2
157,0.750496,0,3,2
158,0.750542,0,3,2
159,0.750697,0,3,2
160,0.751076,0,3,2
161,0.752019,0,3,2
162,0.752656,0,3,2
163,0.752965,0,3,2
164,0.752965,0,3,2
165,0.752995,0,3,2
166,0.75306,0,3,2
167,0.75323,0,3,2
168,0.753582,0,3,2
169,0.754489,0,3,2
170,0.754489,0,3,2
171,0.755249,0,3,2
172,0.755745,0,3,2
173,0.755745,0,3,2
174,0.755758,0,3,2
175,0.755777,0,3,2
176,0.755803,0,3,2
177,0.755815,0,3,2
178,0.755815,0,3,2
179,0.755815,0,3,2
180,0.756627,0,3,2
181,0.844992,0,3,2
182,0.844992,0,3,2
183,0.845028,0,3,2
184,0.987644,0,3,2
185,1,0,3,2
186,1,0,3,2
186,1,0,8,14
